#ColumnJun62016,Code,Name,Litter,Duff,Depth,1-hr,10-hr,100h,Logs,Herb,Shrub,folia,branc, Rotten,LogDist,Soil, Flame EF,Duff EF, Smolder 1K EF
#___,------,..........................................................,_____,-----,_____,-----,_____,-----,_____,_____,-----,_____,-----,_____,----,_____,….,_____,…..
IPNS,FLM701,High Duff and Litter; High Fine Wood; High Log; Low Herb; High Shrub Loading,1.5,45.75,4.57,1,2,2,19,0.16,3.29,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM702,High Duff and Litter; High Fine Wood; Mod to High Log;  Low Herb; Low - High Shrub Loading,2.25,53.0875,5.31,0.4,0.75,1.625,6.375,0.0725,1.3475,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM703,High Duff and Litter; Mod Fine Wood; Low Log; Low Herb ; Mod Shrub Loading,5.66,31.8,3.18,0.366667,0.5,3.333333,7.833333,0.04,0.823333,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM704,High Duff and Litter; No Fine wood; No Log; High Herb; No Shrub Loading,3.833333,61.5,6.15,0,0,0,0,4,0.04,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM705,High Duff and Litter; Mod Fine Wood; Low Log; Low Herb; High Shrub Loading,3.1,23.4,2.34,0.2,0.5,0.5,0.9,0.1,2.56,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM706,High Duff and Litter; Low Fine Wood; High Log; Low Herb; High Shrub  Loading,1.43,25.48,2.55,0.2,0.2,0.2,33.2,0.1,0.16,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM707,Mod Duff and Litter; No Fine Wood; No Log; Low Herb; High Shrub Loading,3.1,7.6,0.76,0,0,0,0,0.2,1.26,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM709,High Duff and Litter; Mod Fine Wood; Low Log; No Herb; Mod Shrub Loading,1.5,356,35.6,0.2,0.3,1,2,0.04,0.32,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM710,High Duff and Litter; Mod Fine Wood; Low Log; High Herb; Mod Shrub Loading,1.5,270,27,0.2,0.3,1,2,1.02,0.22,2.8,0.28,53,Left,Coarse-Silt,3,8,7
IPNS,FLM712,Low Duff and Litter; Mod-High Fine Wood; Mod Logs; Mod Herb; High Shrub Loading,6.296163,2.774337,0.28,2.5,0.10675,0.02325,7.75,0.63548,9.481978,2.8,0.28,53,Left,Coarse-Silt,3,8,7
