#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
1282,0,0,0,4,,Acrostichum aureum Tidal Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
583,1,2,0,0,,Adenostoma fasciculatum Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,13.5,,,,,,,SG,5,8,7
584,0,2,0,0,,Adenostoma sparsifolium Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,13.5,,,,,,,SG,5,8,7
1362,1,0,0,4,,Adiantum capillus - Veneris Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1363,1,0,0,4,,Adiantum capillus-veneris Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1296,0,0,0,4,,Adiantum tenerum Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
476,0,2,0,0,,Aesculus californica Woodland,X,,,,,,,,,,,,,,,,,,,,3,8,7
1283,1,0,0,0,,Agastache urticifolia Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1058,1,0,0,0,,Agrostis scabra Temporarily Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1033,1,0,0,0,,Agrostis variabilis Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1297,1,0,0,0,,Aletes anisatus Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
679,1,2,0,0,,Allenrolfea occidentalis Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
745,1,0,0,0,,Alnus (viridis ssp. sinuata; incana) Temporarily Flooded Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
814,0,0,3,0,,Alnus incana Saturated Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
787,1,2,3,0,,Alnus incana Seasonally Flooded Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
746,1,2,3,0,,Alnus incana Temporarily Flooded Shrubland,SMFDB 271,0.5,0,0,0,0,0,5,1,,0.28,,3.25,,,,,,,,5,8,7
747,0,0,0,4,,Alnus maritima Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
748,1,0,0,0,,Alnus oblongifolia Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
204,1,2,0,0,,Alnus rhombifolia Temporarily Flooded Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
137,1,2,0,0,,Alnus rubra Forest,SMFDB009,0.5,0.6,1,1.4,24.8,5,5,1,,0.28,,1,,,,,,,,3,8,7
241,0,2,0,0,,Alnus rubra Seasonally Flooded Forest,SMFDB009,0.5,0.6,1,1.4,24.8,5,5,1,,0.28,,1,,,,,,,,3,8,7
205,1,0,0,0,,Alnus rubra Temporarily Flooded Forest,SMFDB009,0.5,0.6,1,1.4,24.8,5,5,1,,0.28,,1,,,,,,,,3,8,7
815,0,0,0,4,,Alnus serrulata Saturated Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
788,0,0,3,0,,Alnus serrulata Seasonally Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
749,0,0,3,4,,Alnus serrulata Temporarily Flooded Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
