# FOFEM SAF Cover File; DCL Updated May 9 2016
# Contains Emission Group Numbers
# Fuel Ref,West,Pacif,NthEst,SthEst, Code, Cover, Ref., Lit,1hr,10hr,100hr,1000hr,QMD,Duff,DuffDepth, Cd, Herb, Cd,  Shr, Cd, Foli, Cd, Bran, Cd, Add. Ref, Cover Group, Flame EF,Duff EF, Smolder 1K EF
11,0,0,0,4,SAF 064,Sassafras - Persimmon,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
12,0,0,0,4,SAF 065,Pin Oak - Sweetgum,CFM-OCT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
15,1,0,0,4,SAF 066,Ashe Juniper - Redberry (Pinchot) Juniper,FOFEM 371,0.2,0,0,0,0,0,0,0,GD,1,H1,5,S1,,F1,,B1,,,1,8,7
16,1,0,0,0,SAF 067,Mohrs (Shin) Oak (moderate cover),FOFEM 351,0.11,0,0,0,0,0,0,0,GD,0.4,H1,2.28,S1,,F1,,B1,,,3,8,7
42,1,0,0,0,SAF 067,Mohrs (Shin) Oak (low cover),FOFEM 521,0.07,0,0,0,0,0,0,0,GD,0.45,H1,1.26,S1,,F1,,B1,,,3,8,7
43,1,0,0,0,SAF 067,Mohrs (Shin) Oak (high cover),FOFEM 531,0.14,0,0,0,0,0,0,0,GD,0.35,H1,3.66,S1,,F1,,B1,,,3,8,7
44,1,0,0,4,SAF 068,Mesquite (moderate shrub cover),FOFEM 341,0.11,0,0,0,0,0,0,0,GD,0.2,H1,2.28,S1,,F1,,B1,,,1,8,7
46,1,0,0,4,SAF 068,Mesquite (low shrub cover),FOFEM 501,0.07,0,0,0,0,0,0,0,GD,0.23,H1,1.26,S1,,F1,,B1,,,1,8,7
47,1,0,0,4,SAF 068,Mesquite (high shrub cover),FOFEM 511,0.14,0,0,0,0,0,0,0,GD,0.17,H1,3.66,S1,,F1,,B1,,,1,8,7
48,0,0,0,4,SAF 069,Sand Pine,FOFEM 191,0.7,0,0,0,0,0,3.8,1,GD,1.7,H1,2.6,S1,,F1,,B1,,,1,8,7
49,0,0,0,4,SAF 070,Longleaf Pine - rough age  1,Reid.et al. 2012,5.75,0,0,0,0,0,0,0,GE,0.75,H1,0.15,S1,,F1,,B1,,PFL,1,8,7
31,0,0,0,4,SAF 070,Longleaf Pine - rough age  2,Reid.et al. 2012,6.45,0,0,0,0,0,1.58,0.2,GF,0.8,H1,0.15,S1,,F1,,B1,,PFL,1,8,7
