# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This file comes from DL's spread sheet - Sept 20 2012
# NOTE: this file now contains foliage and branch loads whereas the previous versions of this file did not
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    089 Black spruce / cottonsedge woodland                                                     x    1.5    270   1.67   0.22   1.02    0.2    0.3      1      1      0      0      1      0      0 BBS
 I     090 White oak -- northern red oak forest                                                    x    6.2   22.1   0.17   0.38   0.01      1    1.4      5      5      4      0      1      0      0
 PI    091 White spruce / prickly rose forest                                                      x   3.05   48.6   0.42   0.57   0.05    0.2    0.4    1.5    1.5      0      0    0.5      0      0 BBS
 PI    092 Quaking aspen -- paper birch -- white spruce -- black spruce f                          x   4.62   30.6   0.25   0.34   0.03    0.4    0.6      3      3      0      0    1.5      0      0 BBS
 PI    093 Paper birch -- quaking aspen forest                                                     x    6.2   37.8   0.33   0.36   0.02    0.3    0.4      3      3      3      0      1      1      0
 PI    094 Balsam poplar -- quaking aspen forest                                                   x    6.2   30.6   0.25   0.54   0.03    0.2    0.3      2      2      1      0      1    0.5      0 BBS
 PI    095 Willow -- mountain alder shrubland                                                      x    3.1   23.4   0.17   2.56    0.1    0.2    0.5    0.5    0.5      0      0    0.4      0      0  SG
 PI    097 Cottongrass grassland                                                                   x      0    150   0.83   0.12      3      0      0      0      0      0      0      0      0      0  GG
 PI    098 Marsh Labrador tea -- lingonberry tundra shrubland                                      x    3.1    7.6   0.17   1.26    0.2      0      0      0      0      0      0      0      0      0  SG
 PI    099 Bluejoint reedgrass grassland                                                           x    6.9     27   0.17      0      5      0      0      0      0      0      0      0      0      0  GG
 PI    100 Altai fescue grassland                                                                  x    4.6    7.5   0.08      0      4      0      0      0      0      0      0      0      0      0  GG
 PI    101 White spruce forest                                                                     x      3   48.6   0.42    0.7   0.03    0.3    0.5      2      2      0      0    0.5      0      0 BBS
 PI    102 White spruce forest                                                                     x      3   48.6   0.42   1.02   1.05      1    1.5     20     20      5      0    0.5      0      0 BBS
 PI    103 White spruce -- paper birch forest                                                      x   4.62   34.2   0.25   0.97   0.03    0.5    0.7      3      3      2      0      1      1      0 BBS
 PI    104 White spruce -- paper birch forest                                                      x   4.56   34.2   0.25   1.57   1.05    1.5      2     15     15      5      0      1      1      0 BBS
 PI    105 Paper birch -- quaking aspen -- white spruce forest                                     x   6.16   30.6   0.25   0.96   0.06    0.4    0.5      5      5      3      0      2      2      0 BBS
 N     106 Red spruce -- balsam fir forest                                                         x   5.99  30.69   0.17   0.26    0.1      1    1.7   17.5   17.5   17.5      0    3.5    3.5      0 BBS
 N     107 Pitch pine / scrub oaks forest                                                          x   2.99   35.1   0.25    0.6   0.02    0.1    0.7    0.1    0.1      0      0    0.2      0      0
 N     109 Eastern white pine -- northern red oak -- red maple forest                              x   4.64   11.7   0.08   1.55    0.4    0.3    0.5    1.2    1.2    0.5    0.5   0.75    0.3      0 WPH
 N     110 American beech -- yellow birch -- sugar maple forest                                    x    3.1  14.85   0.08   0.15    0.1    0.4    0.5      1      1      5      0    0.5      1      0
 S     114 Virginia pine -- pitch pine -- shortleaf pine forest                                    x   4.54   19.8   0.17   0.35    0.2    0.2    0.7    0.3    0.3    0.5      0    0.2    0.3      0
 S     115 Rhododendron -- blueberry -- mountain laurel shrubland                                  x   6.17     40   0.21   7.61   0.05    0.2    0.7      0      0      0      0    0.2      0      0  SG
 S     120 Oak -- pine / mountain laurel forest                                                    x   6.12   19.8   0.12    5.4   0.05    0.5      1    1.5    1.5    1.8      0    0.8      0      0
 S     121 Oak -- pine / mountain laurel forest                                                    x   9.17   19.8   0.12    5.4    0.1      2      3    8.8    8.8   14.6    5.8    0.8      0      0
 S     123 White oak -- northern red oak -- black oak -- hickory forest                            x   8.03   22.1   0.17   1.31   0.06    0.6    1.2    1.5    1.5    1.8      0    0.8      0      0
 N     124 Pitch pine -- oak forest                                                                x   4.58  18.72   0.13   0.93   0.11    0.2    0.5    0.1    0.1    0.1      0    0.2      0      0
 N     125 Oak -- hickory -- pine -- eastern hemlock forest                                        x   6.19   8.16   0.06   1.32   0.05   0.02    0.4    1.8    1.8    1.8      0    0.5      0      0 WPH
 S     129 Green ash -- American elm forest                                                        x   1.55    1.3   0.08   0.79   0.11    0.1    0.2    1.5    1.5    1.5      0    0.5    0.5      0
 S     131 Bluestem -- Indian grass -- switchgrass grassland                                       x   6.89      0      0   0.13    3.3      0      0      0      0      0      0      0      0      0  GG
 S     133 Tall fescue -- foxtail -- purple bluestem grassland                                     x   4.66      0      0   0.27      3    0.4    0.2      0      0      0      0      0      0      0  GG
 S     134 White oak -- northern red oak -- hickory forest                                         x   4.59   7.12   0.05   1.18    0.2    1.4    3.2    7.9    7.9    2.8      0    2.5      1      0
 S     135 Eastern redcedar -- oak / bluestem savanna                                              x   1.44   0.39   0.02    0.2    1.5    0.2    0.4      0      0      0      0      0      0      0
 N     138 Red pine -- eastern white pine forest                                                   x    2.4  19.89   0.15   0.32    0.1    0.9    1.5    4.8    4.8    5.2      0    1.4    2.1      0 RJP
 N     140 Jack pine / black spruce forest                                                         x    2.4  18.53   0.12   0.91   0.72    0.3    0.3    0.4    0.4      0      0    0.1      0      0 RJP
 N     142 Quaking aspen -- paper birch forest                                                     x   3.09   23.4   0.17   0.23   0.11    0.5      1      3      3      0      0      1      0      0
 I     143 Quaking aspen -- paper birch -- white spruce -- balsam fir for                          x   6.19   24.7   0.17   1.76    0.5    0.4    0.6      2      2      2      0    0.3      0      0 BBS
 N     146 Jack pine forest                                                                        x   2.34   15.6    0.1   0.18   0.11    0.2    0.8      6      6      0      0    1.5      0      0 RJP
 N     147 Jack pine savanna                                                                       x   1.29   3.64   0.03   0.51   0.31    0.1    0.1    0.3    0.3      0      0      0      0      0 RJP
 N     148 Jack pine forest                                                                        x   3.26   4.23   0.04   0.17   0.06    0.1    0.5     10     10      0      0    1.5      0      0 RJP
