#FCCS Cover File; DCL Updated May 9 2016
#reg,reg,reg,reg,Num-Name,F,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG, Flame EF,Duff EF, Smolder 1K EF
#_,-,_,-,___________________________________________________________________________________________,_,------,______,------,______,------,______,------,______,------,______,------,______,------,______,------,______,---,___,---,___
P,,,,051 Coastal sage shrubland,x,8.37,0,0,9.22,0,0.1,0.1,0,0,0,0,0,0,0,0,0,SB,5,8,7
P,,,,052 Douglas-fir -- Pacific ponderosa pine / oceanspray fores,x,1.92,14.28,1.1,0.5,0.21,0.4,0.9,0.4,0.4,1.1,0.6,0.4,2.4,0,10.83,2.71,PN,3,8,7
P,,,,053 Pacific ponderosa pine forest,x,1.65,18.7,1.5,0,0.06,0.1,1.5,1.5,8,3,0,3,1.5,0,7.71,1.93,PN,3,8,7
P,,,,054 Douglas-fir -- white fir -- interior ponderosa pine fore,x,2.3,26.6,2,0.26,0.11,0.3,2.4,4.9,0.5,3,4,1,3,4,20.6,5.15,PN,3,8,7
I,,,,055 Western juniper / sagebrush savanna,x,0.05,0.39,0.2,1.28,0.61,0.2,0.4,0.8,0,0,0,0,0,0,3.58,0.9,SB,5,8,7
I,,,,056 Sagebrush shrubland,x,0.05,0,0,4.5,0.71,0,0,0,0,0,0,0,0,0,0,0,SB,5,8,7
I,,,,057 Wheatgrass -- cheatgrass grassland,x,0.03,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
I,,,,058 Western juniper / sagebrush savanna,x,0.03,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,2.85,0.71,SB,5,8,7
I,,,,059 Subalpine fir -- Engelmann spruce -- Douglas-fir -- lodg,x,0.91,43.8,3.2,2.87,0.3,0.5,1,2,6.3,3.9,0.3,6.3,3.9,0.3,5.03,1.26,,3,8,7
I,,,,060 Sagebrush shrubland,x,0.11,0,0,0.97,0.2,0,0,0,0,0,0,0,0,0,0,0,SB,5,8,7
I,,,,061 Whitebark pine / subalpine fir forest,x,1.4,15.68,1.3,0.91,0.2,0.1,0.4,1.7,4.4,13.6,0,5.4,19.5,0,9.26,2.31,,3,8,7
P,,,,062 Huckleberry - heather shrublands,x,0.15,0,0,2.72,0.11,0,0,0,0,0,0,0,0,0,0,0,SG,5,8,7
P,,,,063 Showy sedge -- alpine black sedge grassland,x,0.11,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
P,,,,065 Purple tussockgrass -- California oatgrass grassland,x,1.04,2.34,0.2,0,1.8,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
I,,,,066 Bluebunch wheatgrass -- bluegrass grassland,x,0.29,24.22,1.7,0.08,1.01,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
I,,,,067 Interior ponderosa pine -- Douglas-fir forest,x,1.83,20.8,2,4.31,0.75,0.5,1.4,1.2,4,2,0,1.6,1,0,4.68,1.17,PN,3,8,7
I,,,,069 Western juniper / sagebrush -- bitterbrush shrubland,x,0.05,0.1,0.2,3.75,0.2,0.2,0.4,0.2,0,0,0,0,0,0,0.02,0.01,SB,5,8,7
I,,,,070 Subalpine fir -- lodgepole pine -- whitebark pine -- Eng,x,1.44,14.04,1.2,2.84,0.2,0.3,1.2,2.5,12,7,0,8.7,5.5,0,7.79,1.95,,3,8,7
P,,,,071 Ohia / Florida hopbush -- kupaoa forest,x,1.25,0,0,5.06,0.6,0.4,0.5,0.8,0.4,0,0,0.5,0,0,2.36,0.59,,3,8,7
