# Changed species codes to the NRCS format May 17, 2012 - DCL
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
JUOCO   Juniperus occidentalis -- Western juniper      1   4  2   29
JUNSPP  Juniperus species -- Junipers/Redcedars        1  12   34 29
JUVI    Juniperus virginiana -- Eastern redcedar       1  17   34 18
JUVIS   Juniperus virginiana -- Eastern redcedar       1  17   34 18
JUVIS3  Juniperus virginiana -- Eastern redcedar       1  17   34 18
JUVIS   Juniperus virginiana -- Southern redcedar      1  17   34 18
JUVIV   Juniperus virginiana -- Southern redcedar      1  17   34 18
JUVIC   Juniperus virginiana -- Eastern redcedar       1  17   34 18
JUVIC2  Juniperus virginiana -- Eastern redcedar       1  17   34 18
LALA    Larix laricina -- Tamarack                     1  10   34 14
LALAA9  Larix laricina -- Tamarack                     1  10   34 14
LALAA5  Larix laricina -- Tamarack                     1  10   34 14
LALY    Larix lyallii -- Subalpine Larch               1  29  2   30
LAOC    Larix occidentalis -- Western Larch           14  36 12   14 WL
CADE27  Calocedrus decurrens -- Incense-cedar         12  34  2   18 IC
LIDE    Libocedrus decurrens -- Incense-cedar         12  34  2   18 IC
LIST2   Liquidambar styraciflua -- Sweetgum            1  15   34 39
LITU    Liriodendron tulipifera -- Tuliptree           1  20   34 39
LIDE3   Lithocarpus densiflorus -- Tanoak              1  30  2   39
LIDED2  Lithocarpus densiflorus -- Tanoak              1  30  2   39
LIDEE   Lithocarpus densiflorus -- Tanoak              1  30  2   39
MAPO    Maclura pomifera -- Osage-orange               1  16    4 39
MAAC    Magnolia acuminata -- Cucumber-tree            1  15   34 39
MAACC2  Magnolia acuminata -- Cucumber-tree            1  15   34 39
MAACO   Magnolia acuminata -- Cucumber-tree            1  15   34 39
MAACS   Magnolia acuminata -- Cucumber-tree            1  15   34 39
MAGR4   Magnolia grandiflora -- Southern magnolia      1  12    4 39
MAMA2   Magnolia macrophylla -- Bigleaf magnolia       1  12    4 39
MAGSPP  Magnolia species -- Magnolias                  1  18   34 39
MAVI2   Magnolia virginiana -- Sweetbay                1  19   34 39
MAVIT2  Magnolia virginiana -- Sweetbay                1  19   34 39
MAVIA2  Magnolia virginiana -- Sweetbay                1  19   34 39
MAVIP   Magnolia virginiana -- Sweetbay                1  19   34 39
MALPRU  Prunus species -- Apples/Cherries              1  17    4 39
MALSPP  Malus species -- Apples                        1  22   34 39
MOAL    Morus alba -- White mulberry                   1  17    4 39
MOALM   Morus alba -- White mulberry                   1  17    4 39
MOALT   Morus alba -- White mulberry                   1  17    4 39
MORU2   Morus rubra -- Red mulberry                    1  17    4 39
MORUR   Morus rubra -- Red mulberry                    1  17    4 39
MORUT   Morus rubra -- Red mulberry                    1  17    4 39
MORSPP  Morus species -- Mulberries                    1  12   34 39
NYAQ2   Nyssa aquatica -- Water tupelo                 1   9    4 39
NYOG    Nyssa ogeche -- Ogeechee tupelo                1  17    4 39
NYSSPP  Nyssa species -- Tupelos                       1   4   34 39
NYSY    Nyssa sylvatica -- Blackgum                    1  18   34 39
NYSYC   Nyssa sylvatica -- Blackgum                    1  18   34 39
NYSYD   Nyssa sylvatica -- Blackgum                    1  18   34 39
NYSYT   Nyssa sylvatica -- Blackgum                    1  18   34 39
NYBI    Nyssa biflora -- Swamp tupelo                  1  16    4 39
OSVI    Ostrya virginiana -- Hophornbeam               1  16   34 39
OSVIC   Ostrya virginiana -- Chisos hophornbeam        1  16   34 39
OSVIV   Ostrya virginiana -- Hophornbeam               1  16   34 39
OSVIL   Ostrya virginiana -- Hophornbeam               1  16   34 39
OXAR    Oxydendrum arboreum -- Sourwood                1  15   34 39
PATO2   Paulownia tomentosa -- Princesstree            1  29   34 39
PEBO    Persea borbonia -- Redbay                      1  17    4 39
PIAB    Picea abies -- Norway spruce                   3   8   34 10
PIEN    Picea engelmannii -- Engelmann spruce         15  15 12   10 ES
PIENE   Picea engelmannii -- Engelmann spruce         15  15 12   10 ES
PIENM2  Picea engelmannii -- Engelmann spruce         15  15 12   10 ES
PIENM   Picea engelmannii -- Engelmann spruce         15  15 12   10 ES
PIGL    Picea glauca -- White spruce                   3   4 123  10
PIMA    Picea mariana -- Black spruce                  3  11  234 10
PIMAM4  Picea mariana -- Black spruce                  3  11  234 10 
PIPU    Picea pungens -- Blue spruce                   3  10 1    10
