# Version 5.9.1 Fuel Loading File - must be same number as the Fofem program's
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    099 Bluejoint Reedgrass Grassland,                                                          x   6.90  27.00   2.00   0.00   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 PI    100 Altai Fescue Grassland,                                                                 x   4.75   7.50   1.00   0.00   4.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 PI    101 White Spruce Forest,                                                                    x   5.68  48.60   5.00   0.59   0.03   0.30   0.50   1.50   2.00   0.00   0.00   0.50   0.00   0.00
 PI    102 White Spruce Forest with Beetle Attack, Insects and disease                             x   5.30  48.60   5.00   0.85   1.05   1.00   1.50   3.00  20.00   5.00   0.00   0.50   0.00   0.00
 PI    103 White Spruce - Paper Birch Forest,                                                      x   5.92  34.20   3.00   0.80   0.03   0.50   0.70   1.50   3.00   2.00   0.00   1.00   1.00   0.00
 PI    104 White Spruce - Paper Birch Forest with Beetle Attack, Insects and disease               x   5.49  34.20   3.00   1.29   1.05   1.50   2.00   3.00  15.00   5.00   0.00   1.00   1.00   0.00
 PI    105 Paper Birch - Trembling Aspen - White Spruce Forest,                                    x   6.78  30.60   3.00   0.79   0.06   0.40   0.50   1.50   5.00   3.00   0.00   2.00   2.00   0.00
 N     106 Red Spruce - Balsam Fir Forest following Budworm Infestation, Insects and disease       x   7.52  30.69   2.00   0.20   0.10   1.00   1.70   3.30  17.50  17.50   0.00   3.50   3.50   0.00 BBS
 N     107 Pitch Pine / Scrub Oak Forest,                                                          x   3.04  35.10   3.00   0.49   0.02   0.10   0.70   0.50   0.10   0.00   0.00   0.20   0.00   0.00
 N     109 Eastern White Pine - Northern Red Oak - Red Maple Forest,                               x   4.71  11.70   1.00   1.31   0.40   0.30   0.50   1.00   1.20   0.50   0.50   0.75   0.30   0.00
 N     110 American Beech - Yellow Birch - Sugar Maple, Selection cut                              x   3.25  14.85   1.00   0.14   0.10   0.40   0.50   1.00   1.00   5.00   0.00   0.50   1.00   0.00
 S     114 Virginia Pine - Pitch Pine - Shortleaf Pine Forest, Fire exclusion                      x   4.55  19.80   2.00   0.38   0.20   0.20   0.70   0.40   0.30   0.50   0.00   0.20   0.30   0.00
 S     115 Rhododendron - Blueberry - Mountain Laurel Shrubland,                                   x   6.40  40.00   2.50   6.80   0.05   0.20   0.70   2.00   0.00   0.00   0.00   0.20   0.00   0.00
 S     120 Oak - Pine / Mountain Laurel Forest, Fire exclusion                                     x   6.16  19.80   1.50   7.24   0.05   0.50   1.00   1.50   1.50   1.80   0.00   0.80   0.00   0.00
 S     121 Oak - Pine / Mountain Laurel Forest with Beetle Damage, Insects and disease             x   9.22  19.80   1.50   7.24   0.10   2.00   3.00   4.00   8.80  14.60   5.80   0.80   0.00   0.00
 S     123 White Oak - Northern Red Oak - Black Oak - Hickory Forest, Fire exclusion               x   8.03  22.10   2.00   1.16   0.06   0.60   1.20   1.60   1.50   1.80   0.00   0.80   0.00   0.00
 N     124 Pitch Pine - Oak Forest,                                                                x   4.59  18.72   1.60   0.73   0.11   0.20   0.50   0.50   0.10   0.10   0.00   0.20   0.00   0.00
 N     125 Oak - Hickory - Pine - Eastern Hemlock Forest,                                          x   6.19   8.16   0.70   1.12   0.05   0.02   0.40   0.70   1.80   1.80   0.00   0.50   0.00   0.00
 S     129 Green Ash - American Elm Forest,                                                        x   1.55   1.30   1.00   0.67   0.11   0.10   0.20   1.50   1.50   1.50   0.00   0.50   0.50   0.00
 S     131 Bluestem - Indian Grass - Switchgrass Grassland, Prescribed fire                        x   7.28   0.00   0.00   0.11   3.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 S     133 Tall Fescue - Foxtail - Purple Bluestem Grassland,                                      x   4.66   0.00   0.00   0.20   3.00   0.40   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 S     134 White Oak - Northern Red Oak - Hickory Forest, Clearcut                                 x   4.59   7.12   0.60   1.02   0.20   1.40   3.20   6.90   7.90   2.80   0.00   2.50   1.00   0.00
 S     135 Eastern Redcedar - Oak / Bluestem Savanna,                                              x   1.49   0.45   0.20   0.20   1.50   0.20   0.40   0.80   0.00   0.00   0.00   0.00   0.00   0.00
 N     138 Red Pine - White Pine Forest, Fire exclusion                                            x   2.80  19.89   1.80   0.26   0.10   0.90   1.50   1.90   4.80   5.20   0.00   1.40   2.10   0.00
 N     140 Jack Pine / Black Spruce Forest, Fire exclusion                                         x   2.60  18.53   1.50   0.76   0.72   0.30   0.30   0.10   0.40   0.00   0.00   0.10   0.00   0.00
 N     142 Trembling Aspen - Paper birch Forest,                                                   x   3.24  23.40   2.00   0.22   0.11   0.50   1.00   3.00   3.00   0.00   0.00   1.00   0.00   0.00
 I     143 Trembling Aspen - Paper birch - White Spruce - Balsam Fir Forest,                       x   6.29  24.70   2.00   1.53   0.50   0.40   0.60   1.30   2.00   2.00   0.00   0.30   0.00   0.00
 N     146 Jack Pine Mature Forest,                                                                x   3.42  15.60   1.20   0.12   0.11   0.20   0.80   1.00   6.00   0.00   0.00   1.50   0.00   0.00 RJP
 N     147 Jack Pine Savanna,                                                                      x   1.31   3.64   0.40   0.29   0.31   0.10   0.10   0.10   0.30   0.00   0.00   0.00   0.00   0.00 RJP
 N     148 Jack Pine Young Forest, Wildfire                                                        x   3.62   4.23   0.50   0.16   0.06   0.10   0.50   1.30  10.00   0.00   0.00   1.50   0.00   0.00 RJP
 N     152 Red Pine - White Pine Forest following Severe Windthrow, Windrow                        x   3.19  17.55   1.80   0.15   0.20   2.00   3.00   4.00  12.50  15.00  10.00   1.40   2.10   0.00
 I     154 Bur Oak Savanna, Fire exclusion                                                         x   4.72   3.60   0.40   0.25   0.30   0.20   0.50   0.50   1.00   0.50   0.00   0.00   0.00   0.00
 N     155 Red Spruce - Balsam Fir Forest,                                                         x   3.06  44.55   3.00   0.07   0.05   0.50   1.00   0.50   1.50   0.40   0.00   2.00   0.75   0.00 BBS
 S     156 Slash Pine Plantation Forest, Thinning                                                  x   2.94   9.35   0.75   2.28   0.10   1.60   0.84   1.50   2.00   0.00   0.00   0.07   0.00   0.00
 S     157 Loblolly Pine - Shortleaf Pine - Mixed Hardwoods Forest,                                x   6.06  11.05   1.00   1.56   0.11   1.00   1.30   1.30   0.70   0.70   0.70   0.90   0.00   0.00
 S     158 Loblolly Pine - Shortleaf Pine - Mixed Hardwoods Forest post Beetle Infestation         x   9.08  11.05   1.00   2.56   0.11   0.30   1.10   1.90  10.40  10.00   9.00   7.00   4.00   0.00
 S     161 Loblolly Pine - Slash Pine Forest,                                                      x   3.00  12.35   1.00   0.63   0.11   1.20   0.84   0.25   0.50   0.00   0.00   1.00   0.00   0.00
 S     162 Loblolly Pine - Slash Pine Forest with Commercial Thin, Thinning                        x   3.00  12.35   1.00   0.94   0.11   0.50   4.30   3.70   2.70   0.00   0.00   1.60   0.00   0.00
 S     164 Sand Pine Forest,                                                                       x   2.97   7.80   1.00   1.18   0.01   1.50   1.50   0.30   1.00   0.50   0.00   0.10   0.00   0.00
 S     165 Longleaf Pine / Three-awned Grass - Pitcher Plant Savanna with Prescribed Fire,         x   1.17   1.30   0.50   1.33   0.35   0.10   0.16   0.14   0.20   0.10   0.00   0.00   0.00   0.00
 S     166 Longleaf Pine / Three-awned Grass - Pitcher Plant Savanna, Fire exclusion               x   1.30  17.68   1.60   5.91   0.21   0.20   0.50   0.30   0.50   0.20   0.00   0.00   0.00   0.00
 S     168 Little Gallberry - Fetterbush Shrubland,                                                x   3.69 993.20  45.50   3.95   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 S     170 Pond Pine / Little Gallberry - Fetterbush Shrubland,                                    x   6.28 223.20  10.50   5.04   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 S     173 Live Oak / Sea Oats Savanna,                                                            x   0.69   0.00   0.00   0.42   0.20   0.20   0.20   0.50   0.00   0.00   0.00   0.00   0.00   0.00
