# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 P     062 Huckleberry - heather shrublands                                                        x   0.15   0.00   0.00   2.72   0.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     063 Showy sedge -- alpine black sedge grassland                                             x   0.11   0.00   0.00   0.00   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     065 Purple tussockgrass -- California oatgrass grassland                                    x   1.04   2.34   0.20   0.00   1.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     066 Bluebunch wheatgrass -- bluegrass grassland                                             x   0.29  24.22   1.70   0.08   1.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 I     067 Interior ponderosa pine -- Douglas-fir forest                                           x   1.83  20.80   2.00   4.31   0.75   0.50   1.40   1.20   4.00   2.00   0.00   1.60   1.00   0.00   4.68   1.17  PN
 I     069 Western juniper / sagebrush -- bitterbrush shrubland                                    x   0.05   0.10   0.20   3.75   0.20   0.20   0.40   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.02   0.01  SB
 I     070 Subalpine fir -- lodgepole pine -- whitebark pine -- Eng                                x   1.44  14.04   1.20   2.84   0.20   0.30   1.20   2.50  12.00   7.00   0.00   8.70   5.50   0.00   7.79   1.95
 P     071 Ohia / Florida hopbush -- kupaoa forest                                                 x   1.25   0.00   0.00   5.06   0.60   0.40   0.50   0.80   0.40   0.00   0.00   0.50   0.00   0.00   2.36   0.59
 P     072 Ohia / uluhe forest                                                                     x   5.30   0.00   0.00   0.45   6.30   0.20   0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.16   0.79
 P     073 Koa / pukiawe forest                                                                    x   4.89   0.00   0.00   0.68   3.00   0.90   1.40   4.50   0.10   0.10   0.10   0.10   0.10   0.10  14.39   3.60
 P     074 Mamani -- naio savanna                                                                  x   2.17   0.00   0.00   0.21   0.72   0.20   0.70   2.20   1.90   0.00   0.00   1.90   0.00   0.00   2.39   0.60
 P     075 Slash pine / New Caledonia pine forest                                                  x   7.35  49.40   4.00   0.12   0.00   0.10   1.20   1.90   0.50   1.50   1.00   0.50   1.50   1.00   4.74   1.18
 P     076 Slash pine / molasses grass forest                                                      x   5.83  50.73   4.80   0.02   3.02   0.10   0.40   0.50   0.50   1.50   0.30   0.50   1.50   0.30   1.68   0.42  GG
 P     077 Eucalyptus plantation forest                                                            x   5.47  50.96   4.00   1.36   0.05   0.80   3.30   4.20   4.00   1.00   6.00   2.00   0.50   0.50  13.70   3.42
 P     078 Florida hopbush - Mauna Loa beggarticks shrubland                                       x   1.59   0.00   0.00   6.37   0.90   1.10   2.50   0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  SG
 P     079 Pili grass -- broomsedge bluestem grassland                                             x   0.58   0.00   0.00   0.79   2.50   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     080 Fountain grass grassland                                                                x   0.32   0.00   0.00   0.12   5.10   0.10   0.30   0.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     081 Pukiawe / Columbia bluestem grassland                                                   x   1.48   0.00   0.00   0.50   3.82   0.10   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     082 White leadtree / Guinea grass shrubland                                                 x   1.90   0.00   0.00   0.18   4.50   0.20   0.30   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     083 Molasses grass grassland                                                                x   4.40   0.00   0.00   3.54   5.00   0.10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  GG
 P     084 Ohia / Broomsedge bluestem savanna                                                      x   2.54   0.00   0.00   4.69   4.00   0.10   0.20   0.50   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.02
 PI    085 Black spruce / lichen forest                                                            x   1.71  53.60   6.00   2.21   0.07   0.20   0.30   1.00   1.50   0.00   0.00   1.00   0.00   0.00   0.92   0.23 BBS
 PI    086 Black spruce / feathermoss woodland                                                     x   3.36  52.00   6.00   2.21   0.04   0.20   0.30   1.00   1.50   0.00   0.00   1.00   0.00   0.00   0.92   0.23 BBS
 PI    087 Black spruce / feathermoss forest                                                       x   3.50  64.40   6.00   1.23   0.03   0.10   0.20   0.50   1.00   0.00   0.00   0.50   0.00   0.00   5.81   1.45 BBS
 PI    088 Black spruce / sphagnum moss forest                                                     x  20.38 356.00  35.00   0.84   0.04   0.20   0.30   1.00   1.00   0.00   0.00   1.00   0.00   0.00   0.45   0.11 BBS
 PI    089 Black spruce / cottonsedge woodland                                                     x  12.08 270.00  20.00   0.58   1.02   0.20   0.30   1.00   1.00   0.00   0.00   1.00   0.00   0.00   0.45   0.11 BBS
 I     090 White oak -- northern red oak forest                                                    x   5.27  22.10   2.00   0.96   0.01   1.00   1.40   1.50   5.00   4.00   0.00   1.00   0.00   0.00  11.55   2.89
 PI    091 White spruce / prickly rose forest                                                      x   3.51  48.60   5.00   1.44   0.05   0.20   0.40   1.20   1.50   0.00   0.00   0.50   0.00   0.00   6.06   1.52 BBS
 PI    092 Quaking aspen -- paper birch -- white spruce -- black sp                                x   4.32  30.60   3.00   0.74   0.03   0.40   0.60   1.50   3.00   0.00   0.00   1.50   0.00   0.00   6.26   1.57 BBS
